Dataset,VCTK,VCTK,DAPS,DAPS,MusDB18,MusDB18
Encoder,Trained,Untrained,Trained,Untrained,Trained,Untrained
dafx,,,,,,
ambience,0.5247814670066,0.599843559914,0.5452560937236001,0.650080879958,0.5183948357268,0.6464190268960001
combo,1.05494740417,1.525081624152,1.048085769754,1.53350591675,1.0401682298628,1.518171254334
delay,1.0776133631476,1.21770080755,1.0281973358472,1.15166072721,0.7652258247836,0.9049069379639999
dynamics,0.70096609307824,0.8033409325575399,0.64812319483632,0.79913085732364,0.5540294022725,1.0621681825338
flanger,0.6955473402522,0.806181190726,0.7423750183764001,0.880433194926,0.7481749184118,0.9199313240560001
leslie,0.621029107094,0.6405845632280001,0.606725036494,0.657210109674,0.72747423159,0.791077708594
multiband,0.49171101343580004,0.6079692714758,0.4716745090796,0.602214308643,0.7246579603828,0.8877105959411999
overdrive,0.6397817800384,0.7943313000142,0.6392109695586,0.8824189057162001,0.7965374100782,1.1007298401376
ringmod,1.6209782161619999,1.711535462018,1.8555694348140002,1.9876887955940001,2.4101696155959997,2.597987058708
