Dataset,VCTK,VCTK,DAPS,DAPS,MusDB18,MusDB18
Encoder,Trained,Untrained,Trained,Untrained,Trained,Untrained
dafx,,,,,,
ambience,2.6253764080414657,2.0274142228643712,2.406651577815002,1.7424762729360086,2.7801294248463893,1.8046281133497442
combo,3.4031857787584867,3.6088181800153456,3.378132603376555,3.5636050420059404,3.6887828493377435,3.735830672253733
delay,1.6112283867200534,1.3056865422385624,1.5338433841720989,1.2025584631289046,2.3239565376464997,1.4749193798254665
dynamics,4.206595598171958,3.956968649327039,4.209182412214182,3.9252815254460875,4.177324024644954,3.706906946496628
flanger,2.386473578580691,1.669818979951233,2.038657935137555,1.4463979200358195,2.33911572339332,1.4503679843946562
leslie,3.315955632328987,2.9903747879266738,3.1325143085803098,2.683446080720916,2.5180928925245234,2.1170099342441207
multiband,4.450827177166939,4.3727065642356875,4.485743957153438,4.397561112578618,4.272136235614565,4.133527719541745
overdrive,4.223742692565918,4.013588074374199,4.213150987296861,4.058883000689314,4.2211024228326375,4.039798774125273
ringmod,1.1481260992765427,1.1204434058189392,1.0971529578504167,1.0779294617919892,1.090464320688453,1.0884841673636023
