,Overdrive,Overdrive,RingMod,RingMod,Ambience,Ambience,Combo,Combo,Delay,Delay,Dynamics,Dynamics
,Param,MMI,Param,MMI,Param,MMI,Param,MMI,Param,MMI,Param,MMI
0,muffle,2.3405518706293136,freq_hz,0.7427000741343157,mix,0.529449884658697,hpf_freq,1.231189174442905,fb_mix,0.49134390560672614,output_db,0.1197223112996193
1,drive,0.9599244766351989,feedback,0.5379149293219356,size_m,0.28404905023600335,hpf_reso,0.4551747070198138,l_delay_ms,0.3439470403791205,gate_thr_db,0.11679024604825816
2,output_db,0.0,fine_hz,0.0014480229285309676,hf_damp,0.07631290143818514,drive_s_h,0.018295406375539613,r_delay,0.057169877147778436,mix,0.09575812336685452
3,,,,,output_db,3.593835366011433e-05,bias,0.0052278258921560905,feedback,0.029627712374234783,release_ms,0.07688296811629947
4,,,,,,,output_db,0.0,fb_tone_lo_hi,0.007113414000295748,gate_rel_ms,0.0446012448366524
5,,,,,,,,,,,limiter_db,0.032408707701670814
6,,,,,,,,,,,ratio,0.018605590889156254
7,,,,,,,,,,,thresh_db,0.01665888688254924
8,,,,,,,,,,,gate_att_s,0.009065978131017616
9,,,,,,,,,,,attack_s,0.004601754861750962
10,mean,1.1001587824215042,mean,0.4273543421282608,mean,0.2224619436716364,mean,0.3419774227460829,mean,0.18584038990163113,mean,0.053509581213382874
