,Overdrive,Overdrive,RingMod,RingMod,Ambience,Ambience,Combo,Combo,Delay,Delay,Dynamics,Dynamics
,Param,MMI,Param,MMI,Param,MMI,Param,MMI,Param,MMI,Param,MMI
0,muffle,1.6895879761384958,freq_hz,1.6893309858259906,mix,0.4057628395668855,hpf_freq,1.1783629287078057,fb_mix,0.6466072926649424,gate_thr_db,0.27207368743587157
1,drive,0.39810827405993177,feedback,0.3693154146722559,size_m,0.27245387932434983,drive_s_h,0.7009580717853563,l_delay_ms,0.48500944112468325,release_ms,0.12014458624073665
2,output_db,0.015965320546743378,fine_hz,0.023010166305303947,hf_damp,0.2682159498800081,hpf_reso,0.294824976168794,fb_tone_lo_hi,0.17216773026445065,mix,0.08425866643041502
3,,,,,output_db,0.023224934619392457,bias,0.06234376574431533,feedback,0.08358004340617686,output_db,0.07475080423140401
4,,,,,,,output_db,0.013350172394051008,r_delay,0.08088177580957545,gate_rel_ms,0.0660402168012375
5,,,,,,,,,,,thresh_db,0.030173004899699762
6,,,,,,,,,,,limiter_db,0.027245479562846064
7,,,,,,,,,,,ratio,0.02453272998134093
8,,,,,,,,,,,gate_att_s,0.02057661431958291
9,,,,,,,,,,,attack_s,0.01726827076133919
10,mean,0.7012205235817236,mean,0.6938855222678502,mean,0.24241440084765897,mean,0.44996798296006446,mean,0.29364925665396574,mean,0.07370640606644736
