,id,audio_file,x_b,x_d,y_hat_b,y_hat_d,brightness_diff,depth_diff,p_drive_s_h,p_bias,p_output_db,p_hpf_freq,p_hpf_reso,p_hat_drive_s_h,p_hat_bias,p_hat_output_db,p_hat_hpf_freq,p_hat_hpf_reso,class,x_emb_n=0,y_emb_n=0,colour_n=0,x_emb_n=5,y_emb_n=5,colour_n=5,x_emb_n=10,y_emb_n=10,colour_n=10,x_emb_n=25,y_emb_n=25,colour_n=25,x_emb_n=100,y_emb_n=100,colour_n=100
0,0,audio_0.wav,0.575997531414032,0.4477725923061371,0.7022955417633057,0.2324380427598953,0.1262980103492736,-0.2153345495462417,0.8326556,0.90045,0.6744784,0.5238682,0.041068614,0.17273252,0.79951704,0.46455547,0.43400192,0.19256185,-1,5.4334707,7.0647483,#8c807f,3.5082693,-0.96115535,#68937f,5.8560348,11.43374,#94777f,7.7895274,11.461618,#94697f,5.5980897,10.403338,#966a7f
1,1,audio_1.wav,0.575997531414032,0.4477725923061371,0.7370124459266663,0.1903048306703567,0.1610149145126342,-0.2574677616357803,0.4698127,0.44823575,0.13752294,0.46979308,0.32321113,0.20161003,0.7737711,0.4773104,0.5994029,0.39114594,-1,6.1657286,8.783506,#9dce7f,3.6140316,-2.7916498,#6b507f,5.2280507,13.053166,#7ca77f,7.9811025,13.2224655,#99b17f,5.803432,12.199736,#9bb47f
2,2,audio_2.wav,0.575997531414032,0.4477725923061371,0.7471102476119995,0.2218496650457382,0.1711127161979675,-0.2259229272603988,0.19747233,0.5537149,0.40011716,0.7899329,0.56429935,0.16620503,0.7824541,0.4426452,0.71927994,0.559743,-1,8.850458,7.6402636,#dd9a7f,0.8729904,-3.3224125,#1c3c7f,7.492473,14.373825,#d1cf7f,10.532058,13.167291,#deae7f,8.509141,12.395422,#e1bc7f
3,3,audio_3.wav,0.575997531414032,0.4477725923061371,0.6263777017593384,0.3387669026851654,0.0503801703453063,-0.1090056896209716,0.8510073,0.71184456,0.004279375,0.11585617,0.48166955,0.2470495,0.7005706,0.46373776,0.14941873,0.08448781,-1,2.274979,6.2739935,#415d7f,6.092047,0.83024055,#b2d57f,4.2250967,8.784124,#57287f,4.9643364,10.073487,#48317f,2.5584717,9.24189,#483b7f
4,4,audio_4.wav,0.575997531414032,0.4477725923061371,0.6042565703392029,0.3947193026542663,0.0282590389251709,-0.0530532896518707,0.58773005,0.12365812,0.28400773,0.030181766,0.38862985,0.2195698,0.7011522,0.45706135,0.091231346,0.05643538,-1,-0.30102757,6.572834,#046a7f,8.584989,1.8331959,#fafa7f,2.1836922,7.474585,#0a017f,2.4419675,10.795367,#044e7f,-0.07732683,8.755763,#04277f
5,5,audio_5.wav,0.575997531414032,0.4477725923061371,0.7039122581481934,0.2309201657772064,0.1279147267341613,-0.2168524265289306,0.4723311,0.22873265,0.38273257,0.36256868,0.46570563,0.2076309,0.7784232,0.4815315,0.43507177,0.21021831,-1,4.5027704,9.626725,#76f57f,5.3151674,-2.8891299,#9c4c7f,3.7723067,12.5992155,#469a7f,6.2118754,13.527048,#6abd7f,4.095404,12.673225,#6fc77f
6,6,audio_6.wav,0.575997531414032,0.4477725923061371,0.7171000242233276,0.2313634604215622,0.1411024928092956,-0.2164091318845749,0.005422652,0.9820491,0.687589,0.8346044,0.095917165,0.16500178,0.8048099,0.45982027,0.51375747,0.24450864,-1,5.600115,5.1691904,#902a7f,2.60825,0.6921236,#4ed07f,7.2931666,10.280044,#ca557f,8.390086,9.849941,#a4287f,6.1131206,8.601339,#a3217f
7,7,audio_7.wav,0.575997531414032,0.4477725923061371,0.6271863579750061,0.3398830890655517,0.0511888265609741,-0.1078895032405853,0.31285793,0.4877032,0.5426856,0.14872801,0.23056942,0.23565704,0.7148855,0.46125984,0.14825454,0.07901026,-1,1.9604516,8.227949,#3ab57f,6.9553976,-0.8402537,#cb987f,2.8565629,10.105855,#234f7f,4.268255,12.001699,#357f7f,1.995002,10.960291,#39817f
8,8,audio_8.wav,0.575997531414032,0.4477725923061371,0.7138842940330505,0.2300582379102707,0.1378867626190185,-0.2177143543958664,0.6611287,0.6920913,0.97919965,0.42395717,0.44221526,0.1864946,0.7889467,0.47223234,0.48825127,0.2530119,-1,5.967365,9.008984,#99d97f,3.9679983,-2.7863913,#75507f,4.836604,13.047711,#6da77f,7.5493417,13.3095045,#8eb47f,5.465852,12.347076,#92ba7f
9,9,audio_9.wav,0.575997531414032,0.4477725923061371,0.7480413913726807,0.2230988889932632,0.1720438599586486,-0.2246737033128738,0.7553653,0.49019533,0.3315711,0.852459,0.63595694,0.18723732,0.7760722,0.45404074,0.73355657,0.59091413,-1,9.077368,7.919274,#e2a77f,0.9769324,-3.5692902,#1f337f,7.4412303,14.55375,#cfd47f,10.624315,13.393734,#e1b87f,8.44172,12.403827,#dfbc7f
