,id,audio_file,x_b,x_d,y_hat_b,y_hat_d,brightness_diff,depth_diff,p_freq_hz,p_fine_hz,p_feedback,p_hat_freq_hz,p_hat_fine_hz,p_hat_feedback,class,x_emb_n=0,y_emb_n=0,colour_n=0,x_emb_n=5,y_emb_n=5,colour_n=5,x_emb_n=10,y_emb_n=10,colour_n=10,x_emb_n=25,y_emb_n=25,colour_n=25,x_emb_n=100,y_emb_n=100,colour_n=100
0,0,audio_0.wav,0.6104051470756531,0.4509032666683197,0.8690193295478821,0.0583333149552345,0.258614182472229,-0.3925699517130852,0.7762935,0.81418324,0.83006424,0.67013294,0.6445237,0.5867382,-1,11.4752445,13.795265,#fbeb7f,7.17981,14.761276,#beed7f,8.504801,12.080399,#c1f77f,9.507743,13.785717,#d6e97f,10.661478,15.49506,#eaeb7f
1,1,audio_1.wav,0.6104051470756531,0.4509032666683197,0.8687425851821899,0.0637624189257621,0.2583374381065368,-0.3871408477425575,0.95674455,0.26132733,0.029945612,0.65802586,0.64972967,0.5975976,-1,9.008212,0.68431073,#d4427f,9.968044,3.2080243,#eb577f,11.897942,1.6262778,#ee517f,11.761102,2.4562104,#f6437f,11.261615,3.8588636,#f34f7f
2,2,audio_2.wav,0.6104051470756531,0.4509032666683197,0.7986931204795837,0.3357086181640625,0.1882879734039306,-0.1151946485042572,0.09586769,0.25666523,0.16572046,0.2612882,0.3678415,0.8680563,-1,-4.2664165,10.18122,#06bc7f,-3.32338,7.085933,#168a7f,-5.6870856,8.814282,#07c37f,-5.5425224,8.731347,#069f7f,-3.9892771,8.714202,#05907f
3,3,audio_3.wav,0.6104051470756531,0.4509032666683197,0.8287091851234436,0.3336119651794433,0.2183040380477905,-0.1172913014888763,0.34056282,0.6760055,0.47269875,0.39577702,0.50439584,0.8067019,-1,1.8407738,-4.0199103,#65057f,3.8536484,-3.5500062,#89007f,4.6074386,-3.0335064,#8e077f,4.6022987,-1.9180923,#92027f,4.7257648,-1.8887231,#8d027f
4,4,audio_4.wav,0.6104051470756531,0.4509032666683197,0.8026668429374695,0.3350365459918976,0.1922616958618164,-0.1158667206764221,0.20013338,0.11482364,0.10133648,0.2720794,0.37939546,0.8640576,-1,-3.6778812,3.1062164,#10617f,-2.2907767,1.4003086,#26407f,-2.5288615,3.0331862,#31677f,-2.6350965,2.921654,#2e497f,-1.2283614,2.847136,#31417f
5,5,audio_5.wav,0.6104051470756531,0.4509032666683197,0.7965664863586426,0.3350762128829956,0.1861613392829895,-0.1158270537853241,0.25690508,0.60517186,0.97170204,0.25734898,0.3591798,0.87129945,-1,-2.042676,-1.0997888,#292a7f,-0.6031104,-2.3221767,#41107f,0.15941927,-0.897416,#54287f,0.13323337,-0.911271,#55117f,0.46719098,-0.6551035,#4b127f
6,6,audio_6.wav,0.6104051470756531,0.4509032666683197,0.8689420819282532,0.0651751160621643,0.2585369348526001,-0.3857281506061554,0.9286166,0.6240222,0.2420224,0.66012233,0.64895564,0.59642315,-1,9.3167095,2.1379583,#d9547f,10.757009,4.768787,#f76c7f,12.692734,3.0642848,#f8677f,11.617783,4.038453,#f45a7f,11.453686,5.4745407,#f6657f
7,7,audio_7.wav,0.6104051470756531,0.4509032666683197,0.8690001964569092,0.0606029778718948,0.2585950493812561,-0.3903002887964248,0.8167154,0.23695344,0.5706101,0.66986066,0.6446986,0.5868344,-1,11.024595,12.463052,#f4da7f,7.953144,13.78855,#cae17f,9.716126,11.451886,#d1ed7f,9.820103,12.620821,#dbd87f,10.687983,14.239479,#eada7f
8,8,audio_8.wav,0.6104051470756531,0.4509032666683197,0.7986807227134705,0.3359960615634918,0.1882755756378173,-0.1149072051048278,0.048790634,0.002112329,0.3067407,0.26384407,0.3701247,0.86836326,-1,-4.3475947,12.53414,#05db7f,-4.027303,8.708643,#0a9f7f,-6.172388,10.671804,#01e07f,-5.850317,10.715342,#02bc7f,-4.245481,10.498228,#01a87f
9,9,audio_9.wav,0.6104051470756531,0.4509032666683197,0.8006760478019714,0.3354941606521606,0.1902709007263183,-0.115409106016159,0.25254017,0.44011468,0.110055745,0.26928076,0.3742638,0.86765146,-1,-2.2615952,0.061044797,#26397f,-0.7431854,-1.4038619,#3f1c7f,-0.3505952,0.15844616,#4d397f,-0.24224448,-0.0061702807,#4f1e7f,0.29478878,0.25265265,#481e7f
