,id,audio_file,x_b,x_d,y_hat_b,y_hat_d,brightness_diff,depth_diff,p_l_delay_ms,p_r_delay,p_feedback,p_fb_tone_lo_hi,p_fb_mix,p_hat_l_delay_ms,p_hat_r_delay,p_hat_feedback,p_hat_fb_tone_lo_hi,p_hat_fb_mix,class,x_emb_n=0,y_emb_n=0,colour_n=0,x_emb_n=5,y_emb_n=5,colour_n=5,x_emb_n=10,y_emb_n=10,colour_n=10,x_emb_n=25,y_emb_n=25,colour_n=25,x_emb_n=100,y_emb_n=100,colour_n=100
0,0,audio_0.wav,0.575997531414032,0.4477725923061371,0.5759788155555725,0.4489378333091736,-1.8715858459472656e-05,0.0011652410030364,0.8326556,0.90045,0.6744784,0.5238682,0.041068614,0.7465087,0.466269,0.7387672,0.37091514,0.01535298,-1,3.7634292,10.445365,#44b07f,2.759341,10.607695,#44947f,7.0323033,13.1342,#49c87f,5.227665,14.664633,#44937f,9.145734,4.125165,#c12f7f
1,1,audio_1.wav,0.575997531414032,0.4477725923061371,0.5759584307670593,0.4465075731277466,-3.910064697265625e-05,-0.0012650191783905,0.4698127,0.44823575,0.13752294,0.46979308,0.32321113,0.8521776,0.8085113,0.87061566,0.5235216,0.030117478,-1,6.9429994,8.463477,#a1627f,6.0755143,9.444658,#a7657f,9.529492,10.753353,#9b727f,8.601284,13.579762,#a8657f,6.3759565,7.0301595,#6d9c7f
2,2,audio_2.wav,0.575997531414032,0.4477725923061371,0.5759722590446472,0.4472692310810089,-2.5272369384765625e-05,-0.0005033612251281,0.19747233,0.5537149,0.40011716,0.7899329,0.56429935,0.7541987,0.4792291,0.7472014,0.37491742,0.015354458,4,9.171968,8.739574,#e26d7f,7.8694496,10.331657,#dd897f,11.502003,10.293356,#dc617f,10.499823,14.162316,#e17e7f,4.4550743,7.476569,#32ac7f
3,3,audio_3.wav,0.575997531414032,0.4477725923061371,0.5759676098823547,0.448292464017868,-2.992153167724609e-05,0.0005198717117309,0.8510073,0.71184456,0.004279375,0.11585617,0.48166955,0.82873935,0.71030784,0.83645743,0.4645965,0.020770745,-1,3.2501183,10.054432,#35a17f,2.217173,10.010842,#337c7f,6.3957677,12.903712,#34c07f,4.721878,14.12498,#357c7f,9.609199,4.2722917,#cf347f
4,4,audio_4.wav,0.575997531414032,0.4477725923061371,0.5759949684143066,0.449462354183197,-2.562999725341797e-06,0.0016897618770599,0.58773005,0.12365812,0.28400773,0.030181766,0.38862985,0.84758466,0.7873378,0.86249834,0.50940275,0.027134366,3,5.5693827,10.797113,#78be7f,4.136358,11.3490505,#6db37f,8.841591,13.367003,#84d17f,6.5804224,15.324929,#6cb07f,6.422754,4.2941318,#6e357f
5,5,audio_5.wav,0.575997531414032,0.4477725923061371,0.5759670734405518,0.4482928514480591,-3.045797348022461e-05,0.0005202591419219,0.4723311,0.22873265,0.38273257,0.36256868,0.46570563,0.8293693,0.70130676,0.8334358,0.46029922,0.020312151,-1,8.431215,8.065231,#cc527f,7.102183,9.549261,#c6697f,10.512835,10.128907,#bb5c7f,9.761338,13.442681,#cb5f7f,5.6436415,7.711968,#56b57f
6,6,audio_6.wav,0.575997531414032,0.4477725923061371,0.5760229229927063,0.4505749642848968,2.539157867431641e-05,0.0028023719787597,0.005422652,0.9820491,0.687589,0.8346044,0.095917165,0.7158646,0.41224813,0.70645106,0.35706037,0.017243069,-1,6.000909,12.0325985,#85ef7f,4.0005417,12.565733,#69e47f,9.696051,14.347849,#a1f47f,6.7096796,16.75083,#70ed7f,5.381604,3.4940782,#4e177f
7,7,audio_7.wav,0.575997531414032,0.4477725923061371,0.5758786797523499,0.4467966556549072,-0.0001188516616821,-0.0009759366512298,0.31285793,0.4877032,0.5426856,0.14872801,0.23056942,0.85879284,0.83860636,0.8806221,0.5487164,0.036112342,-1,6.825407,10.435296,#9db07f,5.520898,11.185644,#96ac7f,9.952838,12.660134,#a9b77f,8.147545,15.364498,#9bb17f,5.56068,5.29955,#545b7f
8,8,audio_8.wav,0.575997531414032,0.4477725923061371,0.576061487197876,0.4508755505084991,6.395578384399414e-05,0.003102958202362,0.6611287,0.6920913,0.97919965,0.42395717,0.44221526,0.8769992,0.92376435,0.91500026,0.654,0.08996033,-1,4.5888357,6.914704,#5c257f,4.341642,7.452702,#73137f,6.9635816,10.284224,#47617f,6.8084064,11.686949,#73137f,9.094455,7.384358,#c0a97f
9,9,audio_9.wav,0.575997531414032,0.4477725923061371,0.5760471820831299,0.4508772194385528,4.965066909790039e-05,0.0031046271324157,0.7553653,0.49019533,0.3315711,0.852459,0.63595694,0.8763527,0.9219214,0.9140097,0.65069854,0.08768227,-1,4.13161,7.7660565,#4e477f,3.4762573,8.050952,#592c7f,6.837085,11.066178,#437d7f,5.8700995,12.445926,#57347f,9.2872,6.438653,#c6857f
